year,month,day,week_day,time,saying,like
2022,4,28,3,19,书店不大，没有开灯，但开有两个小窗，书架上堆满了有新有旧形形色色的书。小窗户被书挡住了，让小店略显昏暗。在这里，我一边寻觅我想要的书籍，一边感叹人类之智慧聚集于此。这时候几声斥责将我拉回现实声音初不甚大，但随后，是三声响亮的大逼兜子我转过身去，只见那涨红圆脸的书店老板横眉怒目，他面前是个约莫8 9岁的孩童，脸也甚红甚大，一看便知是他的儿子“多少米是一立方米？” 展开全文/1936588711/386735006/404005073/503233877/578301635/614811399/625188698/770500719/839714296/865345507/941431205/941921563/944485527/987308471/1026647507/1135486870/1146158881/1206124455/1208859573/1240167669/1263322130/1302641259/1434705253/1442065637/1458341336,"['/1936588711', '/386735006', '/404005073', '/503233877', '/578301635', '/614811399', '/625188698', '/770500719', '/839714296', '/865345507', '/941431205', '/941921563', '/944485527', '/987308471', '/1026647507', '/1135486870', '/1146158881', '/1206124455', '/1208859573', '/1240167669', '/1263322130', '/1302641259', '/1434705253', '/1442065637', '/1458341336']"
2022,4,27,2,16,每次排核酸都想掏出这个图/1936588711/274255488/307559057/549772017/625188698/649978853/675432173/737630259/754063701/836279427/839714296/865345507/941431205/941921563/944485527/1026647507/1135486870/1146158881/1244260621/1263322130/1291395276/1300710621/1374811950/1434705253/1435287485,"['/1936588711', '/274255488', '/307559057', '/549772017', '/625188698', '/649978853', '/675432173', '/737630259', '/754063701', '/836279427', '/839714296', '/865345507', '/941431205', '/941921563', '/944485527', '/1026647507', '/1135486870', '/1146158881', '/1244260621', '/1263322130', '/1291395276', '/1300710621', '/1374811950', '/1434705253', '/1435287485']"
2022,4,26,1,22,来自 iPhone 12 mini (4G)                                         /1936588711/418987059/455586046/503233877/549772017/625188698/649978853/737630259/770500719/836279427/839714296/941431205/941921563/944485527/1026647507/1135486870/1146158881/1206124455/1242334711/1244260621/1263322130/1300710621/1434705253/1529735374/1539535958,"['/1936588711', '/418987059', '/455586046', '/503233877', '/549772017', '/625188698', '/649978853', '/737630259', '/770500719', '/836279427', '/839714296', '/941431205', '/941921563', '/944485527', '/1026647507', '/1135486870', '/1146158881', '/1206124455', '/1242334711', '/1244260621', '/1263322130', '/1300710621', '/1434705253', '/1529735374', '/1539535958']"
2022,4,25,0,18,来自 iPhone 12 mini (4G)                                         /1936588711/549772017/625188698/649978853/737630259/754063701/770500719/786904676/836279427/839714296/918692413/941431205/941921563/944485527/981576083/1026647507/1206124455/1244260621/1287793760/1291395276/1300710621/1374811950/1434705253/1529735374/1550186185,"['/1936588711', '/549772017', '/625188698', '/649978853', '/737630259', '/754063701', '/770500719', '/786904676', '/836279427', '/839714296', '/918692413', '/941431205', '/941921563', '/944485527', '/981576083', '/1026647507', '/1206124455', '/1244260621', '/1287793760', '/1291395276', '/1300710621', '/1374811950', '/1434705253', '/1529735374', '/1550186185']"
2022,4,25,0,17,我也不想天天发，但是今天TMD实在是太TMD美了/1936588711/274255488/340710138/418987059/549772017/625188698/649978853/754063701/786904676/804426945/836279427/941921563/944485527/987308471/1052038341/1135486870/1146158881/1178565956/1244260621/1260600147/1263322130/1374811950/1434705253/1458341336/1539535958,"['/1936588711', '/274255488', '/340710138', '/418987059', '/549772017', '/625188698', '/649978853', '/754063701', '/786904676', '/804426945', '/836279427', '/941921563', '/944485527', '/987308471', '/1052038341', '/1135486870', '/1146158881', '/1178565956', '/1244260621', '/1260600147', '/1263322130', '/1374811950', '/1434705253', '/1458341336', '/1539535958']"
2022,4,23,5,0,Rain Season扫街/1936588711/274255488/307559057/549772017/614811399/625188698/737630259/754063701/804426945/839714296/865345507/941921563/987308471/1026647507/1052038341/1195604719/1206124455/1244260621/1263322130/1275767386/1300710621/1374811950/1467393188/1539535958/1550186185,"['/1936588711', '/274255488', '/307559057', '/549772017', '/614811399', '/625188698', '/737630259', '/754063701', '/804426945', '/839714296', '/865345507', '/941921563', '/987308471', '/1026647507', '/1052038341', '/1195604719', '/1206124455', '/1244260621', '/1263322130', '/1275767386', '/1300710621', '/1374811950', '/1467393188', '/1539535958', '/1550186185']"
2022,4,22,4,13,小看着好好吃的小/1936588711/274117708/274255488/547852340/625188698/675432173/737630259/836279427/839714296/865616979/879380968/941921563/944485527/1026647507/1146158881/1206124455/1244260621/1263322130/1374811950/1434705253/1550186185/1594406242/1752339637/1762342755/1795818002,"['/1936588711', '/274117708', '/274255488', '/547852340', '/625188698', '/675432173', '/737630259', '/836279427', '/839714296', '/865616979', '/879380968', '/941921563', '/944485527', '/1026647507', '/1146158881', '/1206124455', '/1244260621', '/1263322130', '/1374811950', '/1434705253', '/1550186185', '/1594406242', '/1752339637', '/1762342755', '/1795818002']"
2022,4,20,2,8,理论不过学生就拿学生成绩威胁的老师真的是屑/1936588711/274255488/386735006/549772017/625188698/675432173/724780032/737630259/754063701/766723854/786904676/836279427/839714296/865345507/941921563/944485527/1052038341/1146158881/1147288184/1192072046/1195604719/1206124455/1208859573/1240167669/1244260621,"['/1936588711', '/274255488', '/386735006', '/549772017', '/625188698', '/675432173', '/724780032', '/737630259', '/754063701', '/766723854', '/786904676', '/836279427', '/839714296', '/865345507', '/941921563', '/944485527', '/1052038341', '/1146158881', '/1147288184', '/1192072046', '/1195604719', '/1206124455', '/1208859573', '/1240167669', '/1244260621']"
2022,4,17,6,21,久在樊笼里复得返自然/1936588711/307559057/455586046/549772017/614811399/625188698/675432173/737630259/766723854/786904676/836279427/839714296/861283137/944485527/987308471/1026647507/1178565956/1195604719/1206124455/1209240206/1241644786/1244260621/1250476396/1302641259/1374811950,"['/1936588711', '/307559057', '/455586046', '/549772017', '/614811399', '/625188698', '/675432173', '/737630259', '/766723854', '/786904676', '/836279427', '/839714296', '/861283137', '/944485527', '/987308471', '/1026647507', '/1178565956', '/1195604719', '/1206124455', '/1209240206', '/1241644786', '/1244260621', '/1250476396', '/1302641259', '/1374811950']"
2022,4,15,4,16,和  @丰才智   gg一起开的工作室这是上次词云的教程喜欢的小伙伴多多三连鸭！    /1936588711/307559057/404005073/570725132/614811399/625188698/737630259/786904676/790838534/839714296/865345507/941921563/1121210708/1206124455/1263322130/1287793760/1291395276/1374811950/1434705253/1489693238/1752339637/1795818002/1830414997/1928268705/1932745866,"['/1936588711', '/307559057', '/404005073', '/570725132', '/614811399', '/625188698', '/737630259', '/786904676', '/790838534', '/839714296', '/865345507', '/941921563', '/1121210708', '/1206124455', '/1263322130', '/1287793760', '/1291395276', '/1374811950', '/1434705253', '/1489693238', '/1752339637', '/1795818002', '/1830414997', '/1928268705', '/1932745866']"
