year,month,day,week_day,time,saying
2022,4,28,3,23,卷呀卷呀，果然人类还是喜欢简支梁桥@I39-李晓梅
2022,4,25,0,21,听我说谢谢你，因为有你，温暖了四季@辅导员周晨
2022,4,22,4,19,我太喜欢他了，呜呜呜
2022,4,21,3,16,鞋子没湿的时候小心翼翼避着水，鞋子湿了以后，哪里水深往哪里tong
2022,4,20,2,22,打得最烂，笑得最灿，还要奖励热爱运动的自己一个大蛋糕，没有人比330玩得花
2022,4,19,1,8,欢迎提供更多方案，方案可行的话奖励大连面一碗
2022,4,7,3,12,挑战《一周四门课从入门到精通》
2022,3,31,3,21,来张全家福吧，（饺子是白某某的，还有贾某的气球狗拒绝合影）
2022,3,27,6,18,我太感动了，一定是他们听到了我的呼唤！
2022,3,24,3,22,就是从早到晚浪了一天
2022,3,18,4,21,诶嘿嘿
2022,3,17,3,23,我是世界上最快乐的小孩！
2022,3,13,6,20,旱的旱死，涝的涝死
2022,3,3,3,20,希望你没事
2022,3,3,3,21,差点忘了，社牛playing老大不能落下@Alkaid Petrichor.
2022,3,2,2,18,我才发现那顶上是个彩色的大钻石，太好玩了，哈哈哈哈哈
2022,2,26,5,20,减速带。。。减速带。。。
2022,2,21,0,8,还能在家里的床上躺多久
2022,2,20,6,15,人麻了，又干蠢事，没买火车票，只能搭早班的了
2022,2,16,2,13,我是田菲若，无限游戏菲姐跟我远走高飞，老秦没机会@嗜
2022,2,14,0,19,肯定是橘子的问题
2022,2,14,0,22,这张图故事性太强了
2022,2,9,2,10,再见习坎
2022,2,7,0,15,有趣有盼，无灾无难。
2022,2,2,2,8,是同一场雪吗
2022,2,1,1,18,天气不错啊（）
2022,2,1,1,21,高级（这1+25块钱太扯了，风口还选的不对，咳咳咳……）
2022,1,30,6,0,虎年大吉
2022,1,25,1,12,我戴了一个这样的口罩出门，本来快尴尬死，后来看见一个戴同样口罩的漂亮姐姐，一下子腰杆子都硬了
2022,1,23,6,11,下雪了哇！
2022,1,20,3,23,我妈说我白天不起床，晚上不睡觉。
2022,1,16,6,21,遥祝芙哥生日快乐，以前总觉得把永远挂在嘴边太幼稚，可我现在觉得或许可以和你一起看看永远的样子。@Sword
2022,1,16,6,12,一点点好看诶
2022,1,13,3,12,我我我，惨了惨了，不会开车了，油门都不敢踩，摆了。
2022,1,12,2,8,emmm，我不理解，放假不是从小年放到元宵二十多天很正常吗。。。小朋友现在那么有反抗精神了呀。。。（那个墙他不发了，小朋友看不到了，就发给我们这些老人家看看吧，生命不息，吃瓜不止）
2022,1,10,0,21,我也不知道为什么拍得这么好看@嗜
2022,1,6,3,11,来自 vivo X60
2022,1,3,0,16,c语言考2次是生怕我第一次侥幸过了吗
2022,1,1,5,17,心情不好只需要一块甜甜的小蛋糕～（卖相不好是因为我把它摔了）
2021,12,31,4,0,永远浪漫，永远奔走在自己的热爱里。2022，万事顺心。祝大家吃好喝好睡好。
2021,12,28,1,22,搬砖快乐，快乐搬砖～
2021,12,24,4,20,他痛苦地闭上眼睛，抖动缰绳，让马匹开始奔跑起来。可这样还不够，他拿起鞭子抽打着马屁股，不断加速，只盼着迅速逃离这一片荔枝林。可无论坐骑跑得有多快，李善德都无可避免地，在自己的良心上发现一处黑迹。在格眼簿子的图例里，赭点为色变，紫点为香变，朱点为味变。而墨点，则意味着荔枝发生褐变，流出汁水，彻底腐坏。为什么痛苦才更引起人的共情？
2021,12,22,2,21,今天收拾得太好看了
2021,12,20,0,18,为什么要在我吃热干面糊的满嘴酱的时候让我抬头看见一个大帅哥
2021,12,18,5,14,挑战极限，挑战人民的底线。
2021,12,17,4,10,想了一下，不能只在群里卷，一起吧大家
2021,12,14,1,0,这个图图说得对啊，晚安啦
2021,12,10,4,21,过年了！！
2021,12,8,2,22,嘿嘿嘿，330
2021,12,7,1,18,哼(ノ=Д=)ノ┻━┻
2021,12,6,0,0,突然好想超说“马上期末，抓紧点～”，现在除了自己没人关心我的考试了
2021,12,5,6,12,谢谢小何同学，爱了@觉觉
2021,12,4,5,22,今天没发说说，奖励自己发一条说说。反思一下自己的迷惑行为。
2021,12,2,3,9,嘿嘿
2021,12,2,3,18,过节了，对称日，开心
2021,11,30,1,9,我怎么过得这么懒散
2021,11,30,1,17,谢谢“把蓝牙音箱当球踢还分不清颜色的老王”祝你在男女比例极高的校区早日脱单
2021,11,29,0,6,许愿：明天没有早训
2021,11,28,6,12,哈哈哈哈哈哈哈哈哈哈哈哈嗝～～
2021,11,27,5,13,突然警醒，女生出门请结伴，我怕了
2021,11,27,5,23,当你的好朋友跟你说他去睡觉
2021,11,26,4,6,晚上睡觉塞个热水袋：好暖和！！渐渐的热水袋凉了，我的手脚也凉了，越睡越冷，冬天好难熬
2021,11,24,2,16,咬了一半了，真的好好吃！！！！！！！心动的感觉！！！
2021,11,23,1,6,12月大事记
2021,11,22,0,18,兴致勃勃地跑到越苑吃饭，害
2021,11,22,0,14,yyds
2021,11,21,6,0,还有6天c语言就截止了，杀我
2021,11,18,3,9,果然整卷的更好看，不想拆了
2021,11,17,2,11,Alkaid Petrichor. ：高高水杉，郁乎苍苍                  来自 vivo X60 (4G)
2021,11,17,2,22,哇，爱了爱了
2021,11,17,2,22,各位亲爱的同学：土木类2106团支部将于明日（周四)下午2点到6点 展开全文
2021,11,14,6,7,好怕有一天我肝过去了
2021,11,11,3,16,哇偶@Sword
2021,11,10,2,13,《有机会》
2021,11,10,2,22,一块小化肥 ：《沙 市 过 早》                                  12                            来自 vivo X60 (4G)
2021,11,10,2,21,今天都在晒沙市过早，馋死我了，给我的大学同学看看生图，这才是好吃的过早
2021,11,8,0,12,@Alkaid Petrichor.
2021,11,6,5,18,像美人的泪痣
2021,11,6,5,21,沙市中学80校庆习坎宣传部文创发布会录播版       307播放 · 30点赞 · 3弹幕
2021,11,4,3,8,为什么每次到校医院都被训得像傻子一样
2021,11,2,1,13,为什么我每次充电都不开插线板的开关，我是傻子了
2021,11,2,1,18,高数宗旨就是，社死一个一个都跑不掉
2021,10,31,6,17,亲友团助力（2/11）
2021,10,31,6,19,这是一条纯白的裤子，然后我把它和大红色的卫衣一起洗了，现在我有了粉色的新裤子不错不错
2021,10,29,4,18,今天就是很开心呀
2021,10,28,3,23,快乐周末（上半场）
2021,10,24,6,9,这样装丁字尺真的好傻，可是我也没有办法
2021,10,22,4,11,以前最讨厌圆子了
2021,10,18,0,18,感谢亲友团，今天社死地很彻底
2021,10,15,4,22,今天训练随手拍了一张月亮，结果发现空间里都是月亮，今天的月亮有什么特别吗？
2021,10,8,4,21,今天第一次参加辩论，虽然是面试不太正式，但我还是好开心，辩论太好玩了
2021,10,3,6,19,收拾好了，明天可以上学了！
2021,10,2,5,22,撩狗子二人@嗜  @林果.
2021,9,25,5,17,我真的胆子小，彩虹滑道上上下下走了三次才敢往下滑，旁边的小朋友都把我盯着看。
2021,9,25,5,12,黄晓奕带起的不正之风
2021,9,24,4,11,加微信，留电话。17771620186
2021,9,23,3,19,我宣布，青椰子从此进入我的黑名单，实在无法适应，觉得它很恶心。
2021,9,18,5,9,国庆好想去成都，可是我怕万一有疫情就上不了学了
2021,9,14,1,16,隔壁军训不停地喊教官好是要干嘛
2021,9,11,5,21,今天第一次晚上去逛中山公园，还看见了草丛里的黄鼠狼，很可爱啦。
2021,9,6,0,18,我不行了，10.9开学，复读来得及吗。
2021,9,3,4,16,大家都开学了，军训了，上课了，我好羡慕
2021,8,28,5,12,yeah
2021,8,27,4,20,也不是等不起，害，就是不想出钱。
2021,8,21,5,17,我不想少儿频道帮我回忆童年，希望现在的小孩能有一个单纯的童年
2021,8,6,4,19,赌博佬们
2021,7,10,5,11,对面的哥哥弹琴真的很宏大，每天练习很有毅力，向他学习！！
2021,7,6,1,12,凑字数，就离谱。
2021,7,1,3,13,哪个憨批设计的饮料，排雷。
2021,6,24,3,22,1+1＞2
2021,6,22,1,18,学生墙 ：这个狠                  来自 vivo X60
2021,6,20,6,11,还挺浪漫
2021,6,19,5,15,沙市中学名号很好用嘛，没带准考证也有半价，感谢母校。
2021,6,9,2,11,真的开心
2021,5,1,5,22,妈妈送的和姐姐送的
2021,5,1,5,16,有点小，但是太可了。
2021,4,18,6,6,现在应该是饿醒的
2021,3,24,2,13,庭前芍药妖无格？
2021,2,9,1,4,
2021,2,9,1,15,复兴大道修的真不错
2021,2,8,0,7,斯人如彩虹
2021,1,17,6,11,花团锦簇
2020,12,6,6,17,大头儿子不可能比得上胡图图，图图天下第一。
